page_name,user_name,facebook_id,page_category,page_admin_top_country,page_description,page_created,likes_at_posting,followers_at_posting,post_created,post_created_date,post_created_time,type,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care,video_share_status,is_video_owner,post_views,total_views,total_views_for_all_crossposts,video_length,url,message,link,final_link,image_text,link_text,description,sponsor_id,sponsor_name,sponsor_category,overperforming_score_weighted_likes_1x_shares_1x_comments_1x_love_1x_wow_1x_haha_1x_sad_1x_angry_1x_care_1x,group_name,date_r
Franklin Graham,FranklinGraham,100044568093541,PERSON,US,Official Page for Franklin Graham. President Samaritan's Purse & Billy Graham Evangelistic Assoc.,2010-11-23T15:25:06Z,9721856,9651515,2021-04-26T06:40:09Z,2021-04-26,06:40:09,Link,423137,274233,16958,69720,56037,1091,183,561,159,4195,NA,-,0,0,0,N/A,https://www.facebook.com/100044568093541/posts/297087608453507,"I’ve known Dr. Alveda King for many years—she’s a very sharp lady. The niece of Dr. Martin Luther King, Jr., Alveda is a bold voice of truth in the disintegrating culture around us. She wrote a powerful essay about racism and Planned Parenthood—I urge you to read more in the link. Alveda said, “There can be only one true critical race theory and that is for the one human race. We are one blood, one human race, and should be regarded as equal, from the womb to the tomb. ‘Of one blood, God created humanity (Acts 17:26).’” She also points out that Planned Parenthood, America’s largest abortion provider, was founded by someone who wanted to annihilate the Black community, and they continue taking lives today.",https://www.lifenews.com/2021/04/23/alveda-king-if-america-really-wants-to-end-racism-we-should-close-planned-parenthood/,NA,NA,"Alveda King: If America Really Wants to End Racism, We Should Close Planned Parenthood","LifeNews Note: The following is excepted from an essay by Alveda King, the niece of Dr. Martin Luther King Jr. I can only pray that the divisiveness of racism",NA,NA,NA,6.72,NA,2021-04-26T00:00:00Z
NA,newsmax,85452072376,MEDIA_NEWS_COMPANY,US,"Newsmax brings you live 24/7 coverage of breaking updates in politics, world news, health, finance, and beyond. Find where you can watch: nws.mx/tv",2009-04-21T19:25:44Z,3285115,4032171,2021-06-07T20:39:49Z,2021-06-07,20:39:49,Native Video,350381,123175,26249,145618,51687,1360,466,272,486,1068,owned,Yes,2479243,4821122,0,00:20:12,https://www.facebook.com/85452072376/posts/10158279587552377,"""You've got to watch this video in its entirety. I've been waiting for somebody like this."" Greg Kelly speaks to Tatiana Ibrahim, a parent who swung back at her child's school board over 'Critical Race Theory,"" on Monday's edition of ""Greg Kelly Reports.""",https://www.facebook.com/newsmax/videos/1058344298035273/,NA,NA,Mom tears apart school board over Critical Race Theory | Greg Kelly Reports,NA,NA,NA,NA,129.44,Newsmax,2021-06-08T00:00:00Z
NA,prageru,100064353922429,PERSON,US,The world's leading conservative nonprofit focused on changing minds through creative digital media,2010-07-18T16:57:55Z,3856378,4355078,2021-05-10T13:03:00Z,2021-05-10,13:03:00,Photo,330418,17678,130482,12099,295,1198,2609,5050,160819,188,NA,-,0,0,0,N/A,https://www.facebook.com/127225910653607/posts/4241565389219618,Do you think kids should learn about critical race theory in school? Take the survey: https://l.prageru.com/3tp5TZj:=:https://www.surveymonkey.com/r/56LTTYB,https://www.surveymonkey.com/r/56LTTYB,NA,NA,Do You Support Critical Race Theory? Take the Survey,Take this survey.,NA,NA,NA,22.34,PragerU,2021-05-11T00:00:00Z
NA,GrahamAllenOfficial,100044259707729,PERSON,US,"Candidate for Congress SC-7
Founder of Nine Twelve United
Host of Dear America 
Best Selling Author

",2015-01-07T21:07:55Z,2479594,3453220,2021-06-17T21:47:06Z,2021-06-17,21:47:06,Native Video,299109,140476,10657,103265,42788,405,420,67,117,914,owned,Yes,1808711,2767611,0,00:02:47,https://www.facebook.com/769924816419024/posts/4084798574931615,Watch this parent absolutely obliterate Critical Race Theory at an Illinois school board meeting: EVERYONE NEEDS TO SEE THIS NOW!!,https://www.facebook.com/GrahamAllenOfficial/videos/322370056142315/,NA,NA,Critical Race Theory,NA,NA,NA,NA,10.32,Graham Allen,2021-06-18T00:00:00Z
NA,FranklinGraham,100044568093541,PERSON,US,Official Page for Franklin Graham. President Samaritan's Purse & Billy Graham Evangelistic Assoc.,2010-11-23T15:25:06Z,9735503,9663874,2021-06-04T14:21:45Z,2021-06-04,14:21:45,Link,287696,179994,11512,34033,58640,223,49,58,29,3158,NA,-,0,0,0,N/A,https://www.facebook.com/100044568093541/posts/322956459199955,"This dad is teaching his daughter truth and I have great respect for that. Kory Yeshua posted a video of him telling his little girl about the harms of the woke “critical race theory” that is being touted in our country. This line of thinking tries to reduce people merely to their skin color. Kory says it should be up to him what to teach his children, and he’s right. He said, “How we treat people is based on who they are, and not what color they are…My baby is gonna know that no matter what she wants to be in life, all she has to do is work hard, and she can become that.” The so-called critical race theory is not only being pushed in some K-12 schools, but in corporate America. It only deepens racial divides, and I hope more people will reject it like this father. We’re all created in the image of God. Watch the short video in this link…",https://nypost.com/2021/06/02/video-of-dad-daughter-speaking-out-against-critical-race-theory-goes-viral/,NA,NA,"Video of dad, daughter speaking out against critical race theory goes viral",A video of a father and his daughter speaking out against critical race theory has gone viral amid an ongoing national debate on the topic. The video posted by TikTok user Kory Yeshua shows him sit…,NA,NA,NA,4.3,Franklin Graham,2021-06-05T00:00:00Z
NA,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6494256,8062849,2021-06-28T12:52:05Z,2021-06-28,12:52:05,Native Video,283628,139895,9356,83469,48618,514,168,71,91,1446,crosspost,No,1572622,2858770,6092513,00:03:07,https://www.facebook.com/100044139414360/posts/398830184931625,WATCH: Black Parents SCORCH BLM and Critical Race Theory At School Board Meeting,https://www.facebook.com/officialbenshapiro/videos/391786775598238/,NA,NA,WATCH: Black Parents SCORCH BLM and Critical Race Theory At School Board Meeting,NA,NA,NA,NA,42.88,Ben Shapiro,2021-06-29T00:00:00Z
Ben Shapiro,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6326046,7897011,2021-04-29T10:32:08Z,2021-04-29,10:32:08,Link,274945,216009,5907,16775,35468,130,50,6,33,567,NA,-,0,0,0,N/A,https://www.facebook.com/100044139414360/posts/331147865033191,Well done.,https://www.dailywire.com/news/first-in-nation-idahos-republican-gov-signs-bill-banning-critical-race-theory?utm_source=facebook&utm_medium=social&utm_campaign=benshapiro,NA,NA,First In Nation: Idaho’s Republican Gov. Signs Bill Banning Critical Race Theory,Republican Idaho Gov. Brad Little signed a bill late Wednesday night banning critical race theory from the state's schools.,NA,NA,NA,53.7,NA,2021-04-29T00:00:00Z
NA,FranklinGraham,100044568093541,PERSON,US,Official Page for Franklin Graham. President Samaritan's Purse & Billy Graham Evangelistic Assoc.,2010-11-23T15:25:06Z,9750139,9676298,2021-07-08T09:51:33Z,2021-07-08,09:51:33,Link,248817,170880,11488,32588,32086,172,47,48,66,1442,NA,-,0,0,0,N/A,https://www.facebook.com/100044568093541/posts/345594173602850,"NC Lieutenant Governor Mark Robinson is speaking out against the teaching of critical race theory in this country, and I appreciate it. Teaching our children and young people to hate our nation is wrong and dangerous. The Lt. Gov. said he was raised by his hard-working mom who did a great job “because she had an overwhelming faith in God and she knew she lived in the greatest nation on earth – and that all opportunities were open to her and to her children, and she told us so. Because of that, because she passed those things down to us, I'm now living my dream."" He said, “America's still the place of dreams for everybody. It's still the greatest nation on earth. We want to teach that to our children. We want to make sure that our children…understand the greatness of their founding documents, and those who founded the nation as well…one of the greatest missions we have in life is to make sure that we protect our children and to make sure that they grow up with a love for this nation.” Critical race theory is only deepening the racial divide in the U.S., and we need to stand up against it.",https://www.foxnews.com/politics/mark-robinson-nc-critical-race-theory,NA,NA,North Carolina's lieutenant governor backs anti-CRT effort: Kids should understand 'greatness of this nation',"North Carolina's first African American lieutenant governor is throwing his support behind a nationwide initiative to challenge what's being called racial ""indoctrination"" in schools.",NA,NA,NA,3.61,Franklin Graham,2021-07-08T00:00:00Z
NA,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6210399,7775470,2021-03-18T19:07:32Z,2021-03-18,19:07:32,Native Video,244309,165274,11887,29490,36447,114,114,40,76,867,crosspost,No,1390774,1817095,7190145,00:03:07,https://www.facebook.com/100044139414360/posts/295607558587222,"Gov. DeSantis: ""There's no room in our classrooms for things like Critical Race Theory""",https://www.facebook.com/officialbenshapiro/videos/2711400972503713/,NA,NA,"Gov. DeSantis: ""There's no room in our classrooms for things like Critical Race Theory""",NA,NA,NA,NA,28.77,Ben Shapiro,2021-03-19T00:00:00Z
Ben Shapiro,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6276499,7848583,2021-04-11T12:15:00Z,2021-04-11,12:15:00,Native Video,243854,166421,10591,31842,33809,126,103,33,93,836,crosspost,No,1375788,1796557,7190147,00:03:07,https://www.facebook.com/100044139414360/posts/315752866572691,"Gov. DeSantis: ""There's no room in our classrooms for things like Critical Race Theory""",https://www.facebook.com/officialbenshapiro/videos/2727685720875238/,NA,NA,"Gov. DeSantis: ""There's no room in our classrooms for things like Critical Race Theory""",NA,NA,NA,NA,28.72,NA,2021-04-12T00:00:00Z
