value,n
NA,804037
www.facebook.com,6914
www.youtube.com,2087
www.google.com,1622
patch.com,1480
qwiket.com,1430
www.theblaze.com,693
orbusinessdaily.com,515
ctbusinessdaily.com,512
nhbusinessdaily.com,510
nmbusinessdaily.com,510
mainebusinessdaily.com,504
vtbusinessdaily.com,504
idbusinessdaily.com,502
wabusinessdaily.com,500
iabusinessdaily.com,499
vabusinessdaily.com,498
albusinessdaily.com,496
mdbusinessdaily.com,496
okbusinessdaily.com,496
mobusinessdaily.com,495
mnbusinessdaily.com,494
ohbusinessdaily.com,485
indianabusinessdaily.com,477
flbusinessdaily.com,476
gabusinessdaily.com,476
wibusinessdaily.com,476
ksbusinessdaily.com,475
labusinessdaily.com,472
nybusinessdaily.com,471
ncbusinessdaily.com,470
tnbusinessdaily.com,469
mabusinessdaily.com,468
txbusinessdaily.com,460
cabusinessdaily.com,454
ribusinessdaily.com,452
mibusinessdaily.com,451
www.dailywire.com,451
naturalstatebusinessnews.com,438
utbusinessdaily.com,412
www.breitbart.com,386
akbusinessdaily.com,385
azbusinessdaily.com,360
www.newsbreak.com,360
nvbusinessdaily.com,334
msbusinessdaily.com,332
freedomist.com,286
hibusinessdaily.com,278
www.theepochtimes.com,261
debusinessdaily.com,255
nebraskabusinessdaily.com,252
ndbusinessdaily.com,251
canadafreepress.com,228
www.nbcnews.com,217
www.msnbc.com,203
mtbusinessdaily.com,200
thewillcountynews.com,189
tennesseestar.com,159
www.conservativedailynews.com,154
carbondalereporter.com,148
www.businessinsider.com,144
wybusinessdaily.com,139
thehill.com,135
swnewmexiconews.com,131
greenvillereporter.com,130
sdbusinessdaily.com,130
pinehursttoday.com,128
winstonsalemtimes.com,124
thefederalist.com,121
westwakenews.com,119
www.npr.org,118
gellerreport.com,114
independentchronicle.com,109
ricochet.com,107
www.dailysignal.com,106
www.wsj.com,104
americanmilitarynews.com,101
nypost.com,101
www.dailymail.co.uk,101
www.judicialwatch.org,97
sandovalnews.com,90
hickorysun.com,87
